,Countries and areas,Under-five mortality rate 1990,Under-five mortality rate 2000,Under-five mortality rate 2021,Annual rate of reduction in under-five mortality rate 2000-2021,Under-five mortality rate Male 2021,Under-five mortality rate Female 2021,Infant mortality rate 1990,Infant mortality rate 2021,Neonatal mortality rate 1990,Neonatal mortality rate 2000,Neonatal mortality rate 2021,Mortality rate among children aged 5 to 14 years 1990,Mortality rate among children aged 5 to 14 years 2021,Stillbirth rate 2000,Stillbirth rate 2021,Annual rate of reduction in stillbirth rate 2000-2021,Under-five deaths 2021,Neonatal deaths 2021,Neonatal deaths as a percentage of under-five deaths 2021,Deaths among children aged 5 to 14 years 2021,Stillbirths 2021
0,Afghanistan,178,129,56,4,59,52,121,43,74,61,34,19,4,35,26,1.5,"77,811","49,061",63,"4,396","37,980"
1,Albania,41,27,9,5,10,9,35,8,13,12,7,6,2,7,4,2.3,279,209,75,59,128
2,Algeria,52,42,22,3,24,21,44,19,24,22,16,9,3,20,10,3.5,"21,567","14,888",69,"2,475","9,429"
3,Andorra,13,8,3,4.8,3,2,9,3,7,4,1,3,1,4,2,2.3,2,1,50,0,1
4,Angola,224,205,69,5.2,75,63,132,47,54,50,27,55,16,28,19,1.8,"89,896","35,644",40,"15,451","26,351"
5,Anguilla,17,10,4,4.1,4,4,14,4,9,5,2,3,1,0,0,0,1,0,0,0,0
6,Antigua and Barbuda,14,16,6,4.4,7,6,11,5,8,10,3,3,2,9,5,2.6,7,4,57,2,6
7,Argentina,29,20,7,5,8,6,25,6,15,11,5,3,1,8,4,2.8,"4,410","3,232",73,"1,064","2,719"
8,Armenia,49,31,11,5,12,10,42,10,23,16,6,3,2,20,11,3,372,190,51,74,369
9,Australia,9,6,4,2.4,4,3,8,3,5,4,2,2,1,4,2,2.1,"1,111",706,64,239,714
10,Austria,10,6,4,1.9,4,3,8,3,5,3,2,2,1,3,2,0.7,308,198,64,64,207
11,Azerbaijan,95,75,19,6.6,20,17,76,17,31,34,10,6,3,19,9,3.7,"2,435","1,210",50,553,"1,117"
12,Bahamas,23,16,13,1,14,12,20,11,14,8,7,4,2,12,11,0.4,61,33,54,13,53
13,Bahrain,23,12,7,2.8,7,7,20,6,15,5,3,4,2,8,6,1.7,128,52,41,36,102
14,Bangladesh,146,86,27,5.5,29,25,101,23,66,44,16,24,5,41,21,3.3,"82,081","48,319",59,"13,637","63,199"
15,Barbados,18,15,12,1.1,13,11,16,11,12,9,8,3,2,8,8,0.5,36,24,67,5,23
16,Belarus,15,13,3,7.4,3,2,12,2,10,5,1,4,1,5,2,4.1,251,78,31,122,195
17,Belgium,10,6,4,1.7,5,4,8,3,5,3,2,2,1,3,3,0.7,476,283,59,102,342
18,Belize,38,24,11,3.6,12,10,31,10,19,12,7,5,3,10,7,1.9,80,53,66,21,50
19,Benin,173,137,84,2.3,89,77,104,55,45,39,29,42,19,28,20,1.6,"38,680","13,907",36,"6,514","9,713"
20,Bhutan,127,77,27,5.1,29,24,89,22,42,32,15,17,7,17,9,3,263,144,55,95,88
21,Bolivia (Plurinational State of),121,76,25,5.3,27,22,84,20,41,29,13,12,4,16,9,2.7,"6,484","3,477",54,988,"2,333"
22,Bosnia and Herzegovina,18,10,6,2.7,6,5,16,5,11,7,4,3,1,4,3,2,159,113,71,40,74
23,Botswana,45,74,35,3.6,38,31,34,28,18,8,18,19,7,11,15,-1.5,"2,131","1,098",52,383,912
24,Brazil,63,35,14,4.2,16,13,53,13,26,19,8,4,2,10,7,1.8,"40,107","23,391",58,"6,566","19,411"
25,British Virgin Islands,19,16,10,1.9,11,9,17,10,10,8,5,3,2,0,0,0,2,1,50,1,0
26,Brunei Darussalam,13,10,11,-0.5,12,10,10,10,6,5,6,4,2,5,5,0.2,72,38,53,13,30
27,Bulgaria,18,17,6,4.8,7,6,15,5,8,8,3,4,2,8,5,1.6,377,175,46,106,317
28,Burkina Faso,199,179,83,3.7,87,78,99,52,46,41,25,38,17,29,20,1.7,"63,466","19,832",31,"10,688","16,351"
29,Burundi,170,155,53,5.1,57,48,103,38,39,37,20,59,19,29,18,2.2,"22,715","8,943",39,"7,263","8,130"
30,Cabo Verde,60,38,14,4.9,15,12,47,12,20,19,8,6,2,15,9,2.2,136,84,62,20,92
31,Cambodia,116,106,25,6.9,28,22,85,21,40,35,13,32,4,25,11,3.7,"8,013","4,119",51,"1,431","3,705"
32,Cameroon,136,144,70,3.5,75,64,85,47,40,35,26,32,21,24,19,1.1,"64,977","24,360",37,"15,529","18,288"
33,Canada,8,6,5,1,5,5,7,4,4,4,3,2,1,3,3,0.7,"1,873","1,274",68,368,"1,041"
34,Central African Republic,177,166,100,2.4,107,93,115,75,51,43,32,30,23,31,26,0.8,"22,387","7,483",33,"3,924","6,337"
35,Chad,212,184,107,2.6,114,100,112,66,52,44,32,49,23,32,25,1.2,"76,471","24,070",31,"11,491","19,317"
36,Chile,19,11,7,2.4,7,6,16,6,9,6,4,3,1,4,3,2.2,"1,492",981,66,308,609
37,China,54,37,7,7.9,7,7,43,5,30,21,3,7,2,15,5,5.3,"88,271","34,850",39,"31,781","53,551"
38,Colombia,36,25,13,3.2,14,11,29,11,18,14,7,5,2,9,7,1.2,"9,382","5,106",54,"1,748","5,255"
39,Comoros,126,96,50,3.2,52,47,89,39,50,40,26,16,5,30,24,0.9,"1,192",622,52,109,600
40,Congo,91,114,43,4.6,47,39,60,32,27,30,18,31,7,21,16,1.4,"7,604","3,297",43,"1,050","2,868"
41,Cook Islands,24,18,7,4.4,7,7,20,6,13,10,4,5,2,10,5,3.4,2,1,50,0,1
42,Costa Rica,17,13,8,2.6,8,7,14,6,9,8,5,3,2,5,4,0.8,479,328,68,121,260
43,Cte d'Ivoire,153,143,75,3.1,83,67,104,56,49,46,32,28,24,30,22,1.4,"68,056","30,095",44,"17,524","21,042"
44,Croatia,13,8,5,2.8,5,4,11,4,8,6,3,3,1,5,3,2.5,165,97,59,50,105
45,Cuba,14,9,5,2.7,5,4,11,4,7,4,2,4,2,11,7,2.2,526,239,45,222,703
46,Cyprus,11,7,3,4.1,3,3,10,2,6,4,2,2,1,4,3,2.5,36,21,58,15,33
47,Czechia,12,5,3,3.3,3,2,10,2,7,3,1,2,1,3,3,0.2,293,150,51,97,285
48,Democratic People's Republic of Korea,43,60,15,6.5,17,14,33,10,22,27,8,8,3,15,8,2.9,"5,297","2,835",54,"1,122","2,878"
49,Democratic Republic of the Congo,186,160,79,3.4,85,72,120,62,42,39,26,37,20,32,28,0.6,"307,593","106,733",35,"54,698","114,852"
50,Denmark,9,6,4,2.2,4,3,7,3,4,3,2,2,1,3,2,2.4,222,156,70,41,121
51,Djibouti,118,101,54,2.9,59,49,92,46,49,44,30,26,12,36,27,1.4,"1,316",725,55,279,674
52,Dominica,16,17,36,-3.6,39,33,13,32,10,13,28,4,3,11,15,-1.5,34,27,79,3,15
53,Dominican Republic,60,40,33,0.9,36,30,46,27,24,23,23,7,3,15,13,0.8,"6,799","4,705",69,641,"2,640"
54,Ecuador,54,30,12,4.1,14,11,42,11,22,14,7,7,2,16,9,2.7,"3,722","1,989",53,755,"2,670"
55,Egypt,86,47,19,4.3,20,18,63,16,33,22,10,11,4,17,9,3,"46,892","24,704",53,"9,740","22,876"
56,El Salvador,60,33,12,4.7,14,11,46,11,23,15,6,6,4,20,9,3.9,"1,268",618,49,422,906
