,Countries and areas,Year,Indicator,Value
1051,Cook Islands,1990,Infant mortality rate,20
1052,Costa Rica,1990,Infant mortality rate,14
1053,Cte d'Ivoire,1990,Infant mortality rate,104
1054,Croatia,1990,Infant mortality rate,11
1055,Cuba,1990,Infant mortality rate,11
1056,Cyprus,1990,Infant mortality rate,10
1057,Czechia,1990,Infant mortality rate,10
1058,Democratic People's Republic of Korea,1990,Infant mortality rate,33
1059,Democratic Republic of the Congo,1990,Infant mortality rate,120
1060,Denmark,1990,Infant mortality rate,7
1061,Djibouti,1990,Infant mortality rate,92
1062,Dominica,1990,Infant mortality rate,13
1063,Dominican Republic,1990,Infant mortality rate,46
1064,Ecuador,1990,Infant mortality rate,42
1065,Egypt,1990,Infant mortality rate,63
1066,El Salvador,1990,Infant mortality rate,46
1067,Equatorial Guinea,1990,Infant mortality rate,121
1068,Eritrea,1990,Infant mortality rate,94
1069,Estonia,1990,Infant mortality rate,14
1070,Eswatini,1990,Infant mortality rate,52
1071,Ethiopia,1990,Infant mortality rate,120
1072,Fiji,1990,Infant mortality rate,24
1073,Finland,1990,Infant mortality rate,6
1074,France,1990,Infant mortality rate,7
1075,Gabon,1990,Infant mortality rate,60
1076,Gambia,1990,Infant mortality rate,81
1077,Georgia,1990,Infant mortality rate,41
1078,Germany,1990,Infant mortality rate,7
1079,Ghana,1990,Infant mortality rate,80
1080,Greece,1990,Infant mortality rate,9
1081,Grenada,1990,Infant mortality rate,18
1082,Guatemala,1990,Infant mortality rate,60
1083,Guinea,1990,Infant mortality rate,138
1084,Guinea-Bissau,1990,Infant mortality rate,132
1085,Guyana,1990,Infant mortality rate,47
1086,Haiti,1990,Infant mortality rate,100
1087,Holy See,1990,Infant mortality rate,0
1088,Honduras,1990,Infant mortality rate,45
1089,Hungary,1990,Infant mortality rate,15
1090,Iceland,1990,Infant mortality rate,5
1091,India,1990,Infant mortality rate,89
1092,Indonesia,1990,Infant mortality rate,62
1093,Iran (Islamic Republic of),1990,Infant mortality rate,45
1094,Iraq,1990,Infant mortality rate,42
1095,Ireland,1990,Infant mortality rate,8
1096,Israel,1990,Infant mortality rate,10
1097,Italy,1990,Infant mortality rate,8
1098,Jamaica,1990,Infant mortality rate,23
1099,Japan,1990,Infant mortality rate,5
1100,Jordan,1990,Infant mortality rate,30
1101,Kazakhstan,1990,Infant mortality rate,44
1102,Kenya,1990,Infant mortality rate,65
1103,Kiribati,1990,Infant mortality rate,67
1104,Kuwait,1990,Infant mortality rate,15
1105,Kyrgyzstan,1990,Infant mortality rate,54
1106,Lao People's Democratic Republic,1990,Infant mortality rate,106
1107,Latvia,1990,Infant mortality rate,13
1108,Lebanon,1990,Infant mortality rate,27
1109,Lesotho,1990,Infant mortality rate,68
1110,Liberia,1990,Infant mortality rate,176
1111,Libya,1990,Infant mortality rate,36
1112,Liechtenstein,1990,Infant mortality rate,0
1113,Lithuania,1990,Infant mortality rate,12
1114,Luxembourg,1990,Infant mortality rate,7
1115,Madagascar,1990,Infant mortality rate,95
1116,Malawi,1990,Infant mortality rate,142
1117,Malaysia,1990,Infant mortality rate,14
1118,Maldives,1990,Infant mortality rate,63
1119,Mali,1990,Infant mortality rate,120
1120,Malta,1990,Infant mortality rate,10
1121,Marshall Islands,1990,Infant mortality rate,38
1122,Mauritania,1990,Infant mortality rate,71
1123,Mauritius,1990,Infant mortality rate,20
1124,Mexico,1990,Infant mortality rate,36
1125,Micronesia (Federated States of),1990,Infant mortality rate,39
1126,Monaco,1990,Infant mortality rate,4
1127,Mongolia,1990,Infant mortality rate,77
1128,Montenegro,1990,Infant mortality rate,15
1129,Montserrat,1990,Infant mortality rate,15
1130,Morocco,1990,Infant mortality rate,64
1131,Mozambique,1990,Infant mortality rate,163
1132,Myanmar,1990,Infant mortality rate,82
1133,Namibia,1990,Infant mortality rate,49
1134,Nauru,1990,Infant mortality rate,51
1135,Nepal,1990,Infant mortality rate,96
1136,Netherlands,1990,Infant mortality rate,7
1137,New Zealand,1990,Infant mortality rate,9
1138,Nicaragua,1990,Infant mortality rate,51
1139,Niger,1990,Infant mortality rate,134
1140,Nigeria,1990,Infant mortality rate,124
1141,Niue,1990,Infant mortality rate,21
1142,North Macedonia,1990,Infant mortality rate,33
1143,Norway,1990,Infant mortality rate,7
1144,Oman,1990,Infant mortality rate,32
1145,Pakistan,1990,Infant mortality rate,107
1146,Palau,1990,Infant mortality rate,30
1147,Panama,1990,Infant mortality rate,26
1148,Papua New Guinea,1990,Infant mortality rate,62
1149,Paraguay,1990,Infant mortality rate,36
1150,Peru,1990,Infant mortality rate,57
1151,Philippines,1990,Infant mortality rate,40
1152,Poland,1990,Infant mortality rate,15
1153,Portugal,1990,Infant mortality rate,12
1154,Qatar,1990,Infant mortality rate,18
1155,Republic of Korea,1990,Infant mortality rate,13
1156,Republic of Moldova,1990,Infant mortality rate,28
1157,Romania,1990,Infant mortality rate,24
1158,Russian Federation,1990,Infant mortality rate,17
1159,Rwanda,1990,Infant mortality rate,92
1160,Saint Kitts and Nevis,1990,Infant mortality rate,25
1161,Saint Lucia,1990,Infant mortality rate,18
1162,Saint Vincent and the Grenadines,1990,Infant mortality rate,20
1163,Samoa,1990,Infant mortality rate,25
1164,San Marino,1990,Infant mortality rate,12
1165,Sao Tome and Principe,1990,Infant mortality rate,69
1166,Saudi Arabia,1990,Infant mortality rate,35
1167,Senegal,1990,Infant mortality rate,71
1168,Serbia,1990,Infant mortality rate,24
1169,Seychelles,1990,Infant mortality rate,14
1170,Sierra Leone,1990,Infant mortality rate,155
1171,Singapore,1990,Infant mortality rate,6
1172,Slovakia,1990,Infant mortality rate,13
1173,Slovenia,1990,Infant mortality rate,9
1174,Solomon Islands,1990,Infant mortality rate,31
1175,Somalia,1990,Infant mortality rate,109
1176,South Africa,1990,Infant mortality rate,48
1177,South Sudan,1990,Infant mortality rate,149
1178,Spain,1990,Infant mortality rate,7
1179,Sri Lanka,1990,Infant mortality rate,19
1180,State of Palestine,1990,Infant mortality rate,36
1181,Sudan,1990,Infant mortality rate,82
1182,Suriname,1990,Infant mortality rate,39
1183,Sweden,1990,Infant mortality rate,6
1184,Switzerland,1990,Infant mortality rate,7
1185,Syrian Arab Republic,1990,Infant mortality rate,30
1186,Tajikistan,1990,Infant mortality rate,81
1187,Thailand,1990,Infant mortality rate,30
1188,Timor-Leste,1990,Infant mortality rate,132
1189,Togo,1990,Infant mortality rate,91
1190,Tokelau,1990,Infant mortality rate,0
1191,Tonga,1990,Infant mortality rate,19
1192,Trinidad and Tobago,1990,Infant mortality rate,27
1193,Tunisia,1990,Infant mortality rate,43
1194,Trkiye,1990,Infant mortality rate,56
1195,Turkmenistan,1990,Infant mortality rate,65
1196,Turks and Caicos Islands,1990,Infant mortality rate,11
1197,Tuvalu,1990,Infant mortality rate,41
1198,Uganda,1990,Infant mortality rate,107
1199,Ukraine,1990,Infant mortality rate,16
1200,United Arab Emirates,1990,Infant mortality rate,14
1201,United Kingdom,1990,Infant mortality rate,8
1202,United Republic of Tanzania,1990,Infant mortality rate,100
1203,United States,1990,Infant mortality rate,9
1204,Uruguay,1990,Infant mortality rate,20
1205,Uzbekistan,1990,Infant mortality rate,58
1206,Vanuatu,1990,Infant mortality rate,30
1207,Venezuela (Bolivarian Republic of),1990,Infant mortality rate,25
1208,Viet Nam,1990,Infant mortality rate,37
1209,Yemen,1990,Infant mortality rate,89
1210,Zambia,1990,Infant mortality rate,108
1211,Zimbabwe,1990,Infant mortality rate,51
1212,Afghanistan,2021,Infant mortality rate,43
1213,Albania,2021,Infant mortality rate,8
1214,Algeria,2021,Infant mortality rate,19
1215,Andorra,2021,Infant mortality rate,3
1216,Angola,2021,Infant mortality rate,47
1217,Anguilla,2021,Infant mortality rate,4
1218,Antigua and Barbuda,2021,Infant mortality rate,5
1219,Argentina,2021,Infant mortality rate,6
1220,Armenia,2021,Infant mortality rate,10
1221,Australia,2021,Infant mortality rate,3
1222,Austria,2021,Infant mortality rate,3
1223,Azerbaijan,2021,Infant mortality rate,17
1224,Bahamas,2021,Infant mortality rate,11
1225,Bahrain,2021,Infant mortality rate,6
1226,Bangladesh,2021,Infant mortality rate,23
1227,Barbados,2021,Infant mortality rate,11
1228,Belarus,2021,Infant mortality rate,2
1229,Belgium,2021,Infant mortality rate,3
1230,Belize,2021,Infant mortality rate,10
1231,Benin,2021,Infant mortality rate,55
1232,Bhutan,2021,Infant mortality rate,22
1233,Bolivia (Plurinational State of),2021,Infant mortality rate,20
1234,Bosnia and Herzegovina,2021,Infant mortality rate,5
1235,Botswana,2021,Infant mortality rate,28
1236,Brazil,2021,Infant mortality rate,13
1237,British Virgin Islands,2021,Infant mortality rate,10
1238,Brunei Darussalam,2021,Infant mortality rate,10
1239,Bulgaria,2021,Infant mortality rate,5
1240,Burkina Faso,2021,Infant mortality rate,52
1241,Burundi,2021,Infant mortality rate,38
1242,Cabo Verde,2021,Infant mortality rate,12
1243,Cambodia,2021,Infant mortality rate,21
1244,Cameroon,2021,Infant mortality rate,47
1245,Canada,2021,Infant mortality rate,4
1246,Central African Republic,2021,Infant mortality rate,75
1247,Chad,2021,Infant mortality rate,66
1248,Chile,2021,Infant mortality rate,6
1249,China,2021,Infant mortality rate,5
1250,Colombia,2021,Infant mortality rate,11
1251,Comoros,2021,Infant mortality rate,39
1252,Congo,2021,Infant mortality rate,32
1253,Cook Islands,2021,Infant mortality rate,6
1254,Costa Rica,2021,Infant mortality rate,6
1255,Cte d'Ivoire,2021,Infant mortality rate,56
1256,Croatia,2021,Infant mortality rate,4
1257,Cuba,2021,Infant mortality rate,4
1258,Cyprus,2021,Infant mortality rate,2
1259,Czechia,2021,Infant mortality rate,2
1260,Democratic People's Republic of Korea,2021,Infant mortality rate,10
1261,Democratic Republic of the Congo,2021,Infant mortality rate,62
1262,Denmark,2021,Infant mortality rate,3
1263,Djibouti,2021,Infant mortality rate,46
1264,Dominica,2021,Infant mortality rate,32
1265,Dominican Republic,2021,Infant mortality rate,27
1266,Ecuador,2021,Infant mortality rate,11
1267,Egypt,2021,Infant mortality rate,16
1268,El Salvador,2021,Infant mortality rate,11
1269,Equatorial Guinea,2021,Infant mortality rate,57
1270,Eritrea,2021,Infant mortality rate,29
1271,Estonia,2021,Infant mortality rate,2
1272,Eswatini,2021,Infant mortality rate,41
1273,Ethiopia,2021,Infant mortality rate,34
1274,Fiji,2021,Infant mortality rate,23
1275,Finland,2021,Infant mortality rate,2
1276,France,2021,Infant mortality rate,3
1277,Gabon,2021,Infant mortality rate,29
1278,Gambia,2021,Infant mortality rate,34
1279,Georgia,2021,Infant mortality rate,8
1280,Germany,2021,Infant mortality rate,3
1281,Ghana,2021,Infant mortality rate,33
1282,Greece,2021,Infant mortality rate,3
1283,Grenada,2021,Infant mortality rate,14
1284,Guatemala,2021,Infant mortality rate,20
1285,Guinea,2021,Infant mortality rate,64
1286,Guinea-Bissau,2021,Infant mortality rate,50
1287,Guyana,2021,Infant mortality rate,23
1288,Haiti,2021,Infant mortality rate,45
1289,Holy See,2021,Infant mortality rate,0
1290,Honduras,2021,Infant mortality rate,14
1291,Hungary,2021,Infant mortality rate,3
1292,Iceland,2021,Infant mortality rate,2
1293,India,2021,Infant mortality rate,25
1294,Indonesia,2021,Infant mortality rate,19
1295,Iran (Islamic Republic of),2021,Infant mortality rate,11
1296,Iraq,2021,Infant mortality rate,21
1297,Ireland,2021,Infant mortality rate,3
1298,Israel,2021,Infant mortality rate,3
1299,Italy,2021,Infant mortality rate,2
1300,Jamaica,2021,Infant mortality rate,11
1301,Japan,2021,Infant mortality rate,2
1302,Jordan,2021,Infant mortality rate,13
1303,Kazakhstan,2021,Infant mortality rate,9
1304,Kenya,2021,Infant mortality rate,28
1305,Kiribati,2021,Infant mortality rate,38
1306,Kuwait,2021,Infant mortality rate,7
1307,Kyrgyzstan,2021,Infant mortality rate,16
1308,Lao People's Democratic Republic,2021,Infant mortality rate,34
1309,Latvia,2021,Infant mortality rate,3
1310,Lebanon,2021,Infant mortality rate,7
1311,Lesotho,2021,Infant mortality rate,57
1312,Liberia,2021,Infant mortality rate,57
1313,Libya,2021,Infant mortality rate,9
1314,Liechtenstein,2021,Infant mortality rate,0
1315,Lithuania,2021,Infant mortality rate,3
1316,Luxembourg,2021,Infant mortality rate,2
1317,Madagascar,2021,Infant mortality rate,45
1318,Malawi,2021,Infant mortality rate,31
1319,Malaysia,2021,Infant mortality rate,6
1320,Maldives,2021,Infant mortality rate,5
1321,Mali,2021,Infant mortality rate,62
1322,Malta,2021,Infant mortality rate,5
1323,Marshall Islands,2021,Infant mortality rate,25
1324,Mauritania,2021,Infant mortality rate,32
1325,Mauritius,2021,Infant mortality rate,15
1326,Mexico,2021,Infant mortality rate,11
1327,Micronesia (Federated States of),2021,Infant mortality rate,21
1328,Monaco,2021,Infant mortality rate,1
1329,Mongolia,2021,Infant mortality rate,13
1330,Montenegro,2021,Infant mortality rate,2
1331,Montserrat,2021,Infant mortality rate,5
1332,Morocco,2021,Infant mortality rate,15
1333,Mozambique,2021,Infant mortality rate,51
1334,Myanmar,2021,Infant mortality rate,34
1335,Namibia,2021,Infant mortality rate,29
1336,Nauru,2021,Infant mortality rate,23
1337,Nepal,2021,Infant mortality rate,23
1338,Netherlands,2021,Infant mortality rate,4
1339,New Zealand,2021,Infant mortality rate,4
1340,Nicaragua,2021,Infant mortality rate,11
1341,Niger,2021,Infant mortality rate,60
1342,Nigeria,2021,Infant mortality rate,71
1343,Niue,2021,Infant mortality rate,20
1344,North Macedonia,2021,Infant mortality rate,5
1345,Norway,2021,Infant mortality rate,2
1346,Oman,2021,Infant mortality rate,9
1347,Pakistan,2021,Infant mortality rate,53
1348,Palau,2021,Infant mortality rate,15
1349,Panama,2021,Infant mortality rate,12
1350,Papua New Guinea,2021,Infant mortality rate,34
1351,Paraguay,2021,Infant mortality rate,16
1352,Peru,2021,Infant mortality rate,11
1353,Philippines,2021,Infant mortality rate,20
1354,Poland,2021,Infant mortality rate,4
1355,Portugal,2021,Infant mortality rate,3
1356,Qatar,2021,Infant mortality rate,5
1357,Republic of Korea,2021,Infant mortality rate,2
1358,Republic of Moldova,2021,Infant mortality rate,12
1359,Romania,2021,Infant mortality rate,5
1360,Russian Federation,2021,Infant mortality rate,4
1361,Rwanda,2021,Infant mortality rate,30
1362,Saint Kitts and Nevis,2021,Infant mortality rate,12
1363,Saint Lucia,2021,Infant mortality rate,22
1364,Saint Vincent and the Grenadines,2021,Infant mortality rate,13
1365,Samoa,2021,Infant mortality rate,14
1366,San Marino,2021,Infant mortality rate,2
1367,Sao Tome and Principe,2021,Infant mortality rate,12
1368,Saudi Arabia,2021,Infant mortality rate,6
1369,Senegal,2021,Infant mortality rate,29
1370,Serbia,2021,Infant mortality rate,5
1371,Seychelles,2021,Infant mortality rate,12
1372,Sierra Leone,2021,Infant mortality rate,78
1373,Singapore,2021,Infant mortality rate,2
1374,Slovakia,2021,Infant mortality rate,5
1375,Slovenia,2021,Infant mortality rate,2
1376,Solomon Islands,2021,Infant mortality rate,16
1377,Somalia,2021,Infant mortality rate,71
1378,South Africa,2021,Infant mortality rate,26
1379,South Sudan,2021,Infant mortality rate,64
1380,Spain,2021,Infant mortality rate,3
1381,Sri Lanka,2021,Infant mortality rate,6
1382,State of Palestine,2021,Infant mortality rate,13
1383,Sudan,2021,Infant mortality rate,39
1384,Suriname,2021,Infant mortality rate,15
1385,Sweden,2021,Infant mortality rate,2
1386,Switzerland,2021,Infant mortality rate,3
1387,Syrian Arab Republic,2021,Infant mortality rate,18
1388,Tajikistan,2021,Infant mortality rate,28
1389,Thailand,2021,Infant mortality rate,7
1390,Timor-Leste,2021,Infant mortality rate,43
1391,Togo,2021,Infant mortality rate,43
1392,Tokelau,2021,Infant mortality rate,0
1393,Tonga,2021,Infant mortality rate,10
1394,Trinidad and Tobago,2021,Infant mortality rate,15
1395,Tunisia,2021,Infant mortality rate,14
1396,Trkiye,2021,Infant mortality rate,8
1397,Turkmenistan,2021,Infant mortality rate,36
1398,Turks and Caicos Islands,2021,Infant mortality rate,4
1399,Tuvalu,2021,Infant mortality rate,18
1400,Uganda,2021,Infant mortality rate,31
1401,Ukraine,2021,Infant mortality rate,7
1402,United Arab Emirates,2021,Infant mortality rate,5
1403,United Kingdom,2021,Infant mortality rate,4
1404,United Republic of Tanzania,2021,Infant mortality rate,34
1405,United States,2021,Infant mortality rate,5
1406,Uruguay,2021,Infant mortality rate,5
1407,Uzbekistan,2021,Infant mortality rate,13
1408,Vanuatu,2021,Infant mortality rate,20
1409,Venezuela (Bolivarian Republic of),2021,Infant mortality rate,21
1410,Viet Nam,2021,Infant mortality rate,16
1411,Yemen,2021,Infant mortality rate,47
1412,Zambia,2021,Infant mortality rate,40
1413,Zimbabwe,2021,Infant mortality rate,36
1414,Afghanistan,1990,Neonatal mortality rate,74
1415,Albania,1990,Neonatal mortality rate,13
1416,Algeria,1990,Neonatal mortality rate,24
1417,Andorra,1990,Neonatal mortality rate,7
1418,Angola,1990,Neonatal mortality rate,54
1419,Anguilla,1990,Neonatal mortality rate,9
1420,Antigua and Barbuda,1990,Neonatal mortality rate,8
1421,Argentina,1990,Neonatal mortality rate,15
1422,Armenia,1990,Neonatal mortality rate,23
1423,Australia,1990,Neonatal mortality rate,5
1424,Austria,1990,Neonatal mortality rate,5
1425,Azerbaijan,1990,Neonatal mortality rate,31
1426,Bahamas,1990,Neonatal mortality rate,14
1427,Bahrain,1990,Neonatal mortality rate,15
1428,Bangladesh,1990,Neonatal mortality rate,66
1429,Barbados,1990,Neonatal mortality rate,12
1430,Belarus,1990,Neonatal mortality rate,10
1431,Belgium,1990,Neonatal mortality rate,5
1432,Belize,1990,Neonatal mortality rate,19
1433,Benin,1990,Neonatal mortality rate,45
1434,Bhutan,1990,Neonatal mortality rate,42
1435,Bolivia (Plurinational State of),1990,Neonatal mortality rate,41
1436,Bosnia and Herzegovina,1990,Neonatal mortality rate,11
1437,Botswana,1990,Neonatal mortality rate,18
1438,Brazil,1990,Neonatal mortality rate,26
1439,British Virgin Islands,1990,Neonatal mortality rate,10
1440,Brunei Darussalam,1990,Neonatal mortality rate,6
1441,Bulgaria,1990,Neonatal mortality rate,8
1442,Burkina Faso,1990,Neonatal mortality rate,46
1443,Burundi,1990,Neonatal mortality rate,39
1444,Cabo Verde,1990,Neonatal mortality rate,20
1445,Cambodia,1990,Neonatal mortality rate,40
1446,Cameroon,1990,Neonatal mortality rate,40
1447,Canada,1990,Neonatal mortality rate,4
1448,Central African Republic,1990,Neonatal mortality rate,51
1449,Chad,1990,Neonatal mortality rate,52
1450,Chile,1990,Neonatal mortality rate,9
1451,China,1990,Neonatal mortality rate,30
1452,Colombia,1990,Neonatal mortality rate,18
1453,Comoros,1990,Neonatal mortality rate,50
1454,Congo,1990,Neonatal mortality rate,27
1455,Cook Islands,1990,Neonatal mortality rate,13
1456,Costa Rica,1990,Neonatal mortality rate,9
1457,Cte d'Ivoire,1990,Neonatal mortality rate,49
1458,Croatia,1990,Neonatal mortality rate,8
1459,Cuba,1990,Neonatal mortality rate,7
1460,Cyprus,1990,Neonatal mortality rate,6
1461,Czechia,1990,Neonatal mortality rate,7
1462,Democratic People's Republic of Korea,1990,Neonatal mortality rate,22
1463,Democratic Republic of the Congo,1990,Neonatal mortality rate,42
1464,Denmark,1990,Neonatal mortality rate,4
1465,Djibouti,1990,Neonatal mortality rate,49
1466,Dominica,1990,Neonatal mortality rate,10
1467,Dominican Republic,1990,Neonatal mortality rate,24
1468,Ecuador,1990,Neonatal mortality rate,22
1469,Egypt,1990,Neonatal mortality rate,33
1470,El Salvador,1990,Neonatal mortality rate,23
1471,Equatorial Guinea,1990,Neonatal mortality rate,50
1472,Eritrea,1990,Neonatal mortality rate,35
1473,Estonia,1990,Neonatal mortality rate,10
1474,Eswatini,1990,Neonatal mortality rate,23
1475,Ethiopia,1990,Neonatal mortality rate,59
1476,Fiji,1990,Neonatal mortality rate,13
1477,Finland,1990,Neonatal mortality rate,4
1478,France,1990,Neonatal mortality rate,4
1479,Gabon,1990,Neonatal mortality rate,31
1480,Gambia,1990,Neonatal mortality rate,50
1481,Georgia,1990,Neonatal mortality rate,25
1482,Germany,1990,Neonatal mortality rate,3
1483,Ghana,1990,Neonatal mortality rate,42
1484,Greece,1990,Neonatal mortality rate,6
1485,Grenada,1990,Neonatal mortality rate,12
1486,Guatemala,1990,Neonatal mortality rate,28
1487,Guinea,1990,Neonatal mortality rate,62
1488,Guinea-Bissau,1990,Neonatal mortality rate,64
1489,Guyana,1990,Neonatal mortality rate,31
1490,Haiti,1990,Neonatal mortality rate,39
1491,Holy See,1990,Neonatal mortality rate,0
1492,Honduras,1990,Neonatal mortality rate,22
1493,Hungary,1990,Neonatal mortality rate,11
1494,Iceland,1990,Neonatal mortality rate,3
1495,India,1990,Neonatal mortality rate,57
1496,Indonesia,1990,Neonatal mortality rate,31
1497,Iran (Islamic Republic of),1990,Neonatal mortality rate,25
1498,Iraq,1990,Neonatal mortality rate,26
1499,Ireland,1990,Neonatal mortality rate,5
1500,Israel,1990,Neonatal mortality rate,6
1501,Italy,1990,Neonatal mortality rate,6
1502,Jamaica,1990,Neonatal mortality rate,18
1503,Japan,1990,Neonatal mortality rate,3
1504,Jordan,1990,Neonatal mortality rate,20
1505,Kazakhstan,1990,Neonatal mortality rate,23
1506,Kenya,1990,Neonatal mortality rate,27
1507,Kiribati,1990,Neonatal mortality rate,35
1508,Kuwait,1990,Neonatal mortality rate,10
1509,Kyrgyzstan,1990,Neonatal mortality rate,24
1510,Lao People's Democratic Republic,1990,Neonatal mortality rate,47
1511,Latvia,1990,Neonatal mortality rate,8
1512,Lebanon,1990,Neonatal mortality rate,20
1513,Lesotho,1990,Neonatal mortality rate,39
1514,Liberia,1990,Neonatal mortality rate,60
1515,Libya,1990,Neonatal mortality rate,21
1516,Liechtenstein,1990,Neonatal mortality rate,0
1517,Lithuania,1990,Neonatal mortality rate,8
1518,Luxembourg,1990,Neonatal mortality rate,4
1519,Madagascar,1990,Neonatal mortality rate,39
1520,Malawi,1990,Neonatal mortality rate,51
1521,Malaysia,1990,Neonatal mortality rate,8
1522,Maldives,1990,Neonatal mortality rate,39
1523,Mali,1990,Neonatal mortality rate,67
1524,Malta,1990,Neonatal mortality rate,8
1525,Marshall Islands,1990,Neonatal mortality rate,18
1526,Mauritania,1990,Neonatal mortality rate,45
1527,Mauritius,1990,Neonatal mortality rate,15
1528,Mexico,1990,Neonatal mortality rate,22
1529,Micronesia (Federated States of),1990,Neonatal mortality rate,24
1530,Monaco,1990,Neonatal mortality rate,4
1531,Mongolia,1990,Neonatal mortality rate,30
1532,Montenegro,1990,Neonatal mortality rate,11
1533,Montserrat,1990,Neonatal mortality rate,9
1534,Morocco,1990,Neonatal mortality rate,37
1535,Mozambique,1990,Neonatal mortality rate,62
1536,Myanmar,1990,Neonatal mortality rate,48
1537,Namibia,1990,Neonatal mortality rate,28
1538,Nauru,1990,Neonatal mortality rate,32
1539,Nepal,1990,Neonatal mortality rate,58
1540,Netherlands,1990,Neonatal mortality rate,5
1541,New Zealand,1990,Neonatal mortality rate,4
1542,Nicaragua,1990,Neonatal mortality rate,23
1543,Niger,1990,Neonatal mortality rate,55
1544,Nigeria,1990,Neonatal mortality rate,50
1545,Niue,1990,Neonatal mortality rate,13
1546,North Macedonia,1990,Neonatal mortality rate,17
1547,Norway,1990,Neonatal mortality rate,4
1548,Oman,1990,Neonatal mortality rate,17
1549,Pakistan,1990,Neonatal mortality rate,64
1550,Palau,1990,Neonatal mortality rate,19
1551,Panama,1990,Neonatal mortality rate,18
1552,Papua New Guinea,1990,Neonatal mortality rate,32
1553,Paraguay,1990,Neonatal mortality rate,22
1554,Peru,1990,Neonatal mortality rate,28
1555,Philippines,1990,Neonatal mortality rate,19
1556,Poland,1990,Neonatal mortality rate,11
1557,Portugal,1990,Neonatal mortality rate,7
1558,Qatar,1990,Neonatal mortality rate,11
1559,Republic of Korea,1990,Neonatal mortality rate,7
1560,Republic of Moldova,1990,Neonatal mortality rate,19
1561,Romania,1990,Neonatal mortality rate,16
1562,Russian Federation,1990,Neonatal mortality rate,11
1563,Rwanda,1990,Neonatal mortality rate,41
1564,Saint Kitts and Nevis,1990,Neonatal mortality rate,19
1565,Saint Lucia,1990,Neonatal mortality rate,12
1566,Saint Vincent and the Grenadines,1990,Neonatal mortality rate,13
1567,Samoa,1990,Neonatal mortality rate,13
1568,San Marino,1990,Neonatal mortality rate,7
1569,Sao Tome and Principe,1990,Neonatal mortality rate,26
1570,Saudi Arabia,1990,Neonatal mortality rate,22
1571,Senegal,1990,Neonatal mortality rate,40
1572,Serbia,1990,Neonatal mortality rate,17
1573,Seychelles,1990,Neonatal mortality rate,11
1574,Sierra Leone,1990,Neonatal mortality rate,52
1575,Singapore,1990,Neonatal mortality rate,4
1576,Slovakia,1990,Neonatal mortality rate,9
1577,Slovenia,1990,Neonatal mortality rate,6
1578,Solomon Islands,1990,Neonatal mortality rate,15
1579,Somalia,1990,Neonatal mortality rate,45
1580,South Africa,1990,Neonatal mortality rate,22
1581,South Sudan,1990,Neonatal mortality rate,64
1582,Spain,1990,Neonatal mortality rate,5
1583,Sri Lanka,1990,Neonatal mortality rate,14
1584,State of Palestine,1990,Neonatal mortality rate,23
1585,Sudan,1990,Neonatal mortality rate,43
1586,Suriname,1990,Neonatal mortality rate,21
1587,Sweden,1990,Neonatal mortality rate,4
1588,Switzerland,1990,Neonatal mortality rate,4
1589,Syrian Arab Republic,1990,Neonatal mortality rate,17
1590,Tajikistan,1990,Neonatal mortality rate,31
1591,Thailand,1990,Neonatal mortality rate,21
1592,Timor-Leste,1990,Neonatal mortality rate,57
1593,Togo,1990,Neonatal mortality rate,44
1594,Tokelau,1990,Neonatal mortality rate,0
1595,Tonga,1990,Neonatal mortality rate,10
1596,Trinidad and Tobago,1990,Neonatal mortality rate,20
1597,Tunisia,1990,Neonatal mortality rate,28
1598,Trkiye,1990,Neonatal mortality rate,32
1599,Turkmenistan,1990,Neonatal mortality rate,27
1600,Turks and Caicos Islands,1990,Neonatal mortality rate,8
1601,Tuvalu,1990,Neonatal mortality rate,28
1602,Uganda,1990,Neonatal mortality rate,40
1603,Ukraine,1990,Neonatal mortality rate,12
1604,United Arab Emirates,1990,Neonatal mortality rate,8
1605,United Kingdom,1990,Neonatal mortality rate,4
1606,United Republic of Tanzania,1990,Neonatal mortality rate,40
1607,United States,1990,Neonatal mortality rate,6
1608,Uruguay,1990,Neonatal mortality rate,12
1609,Uzbekistan,1990,Neonatal mortality rate,30
1610,Vanuatu,1990,Neonatal mortality rate,17
1611,Venezuela (Bolivarian Republic of),1990,Neonatal mortality rate,13
1612,Viet Nam,1990,Neonatal mortality rate,24
1613,Yemen,1990,Neonatal mortality rate,44
1614,Zambia,1990,Neonatal mortality rate,37
1615,Zimbabwe,1990,Neonatal mortality rate,23
1616,Afghanistan,2000,Neonatal mortality rate,61
1617,Albania,2000,Neonatal mortality rate,12
1618,Algeria,2000,Neonatal mortality rate,22
1619,Andorra,2000,Neonatal mortality rate,4
1620,Angola,2000,Neonatal mortality rate,50
1621,Anguilla,2000,Neonatal mortality rate,5
1622,Antigua and Barbuda,2000,Neonatal mortality rate,10
1623,Argentina,2000,Neonatal mortality rate,11
1624,Armenia,2000,Neonatal mortality rate,16
1625,Australia,2000,Neonatal mortality rate,4
1626,Austria,2000,Neonatal mortality rate,3
1627,Azerbaijan,2000,Neonatal mortality rate,34
1628,Bahamas,2000,Neonatal mortality rate,8
1629,Bahrain,2000,Neonatal mortality rate,5
1630,Bangladesh,2000,Neonatal mortality rate,44
1631,Barbados,2000,Neonatal mortality rate,9
1632,Belarus,2000,Neonatal mortality rate,5
